id,produto,quantidade,preço,data
1,Teclado Mecânico RGB,10,299.90,01/04/2024
2,Mouse Gamer,8,199.90,02/04/2024
3,Monitor Full HD,12,999.00,03/04/2024
4,Placa de Vídeo GTX 1660,5,1499.00,04/04/2024
5,SSD 1TB,15,599.90,05/04/2024
6,Memória RAM 16GB DDR4,20,399.90,06/04/2024
7,Processador Intel Core i7,7,1999.00,07/04/2024
8,Placa-mãe ATX,6,850.00,08/04/2024
9,Headset Gamer,9,250.00,09/04/2024
10,Mousepad RGB,14,99.90,10/04/2024
11,Webcam Full HD,11,349.90,11/04/2024
12,Fonte 650W,8,450.00,12/04/2024
13,Cooler para CPU,13,150.00,13/04/2024
14,HD Externo 2TB,10,450.00,14/04/2024
